filename,expected_label,time,fog,rain,found_sign,best_conf,matched_expectation
No_Signs_time(16)_fog(25)_rain(0)_189.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_190.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_191.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_192.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_193.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_194.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_195.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_196.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_197.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_198.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_199.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_200.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_201.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_202.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_203.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_204.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_205.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_206.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_207.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_208.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(16)_fog(25)_rain(0)_209.jpg,No_Signs,16,25,0,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_16.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_17.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_18.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_19.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_20.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_21.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_22.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_23.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_24.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_25.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_26.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(18)_fog(25)_rain(20)_27.jpg,No_Signs,18,25,20,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_210.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_211.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_212.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_213.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_214.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_215.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_216.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_217.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_218.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_219.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_220.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_221.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_222.jpg,No_Signs,5,25,15,False,0.00,True
No_Signs_time(5)_fog(25)_rain(15)_223.jpg,No_Signs,5,25,15,False,0.00,True
